playerId,Name,Team,League
34112,Antonio Candreva,Inter,SerieA
10372,Daniele Padelli,Inter,SerieA
136279,Roberto Gagliardini,Inter,SerieA
125476,João Mário,Inter,SerieA
69945,Cédric Soares,Inter,SerieA
19112,Borja Valero,Inter,SerieA
294193,Fabián Ruiz,Napoli,SerieA
365444,Antonio Pio Daniele,Napoli,SerieA
35640,Ivan Radovanovic,Chievo,SerieA
12032,Valter Birsa,Chievo,SerieA
67281,Andrea Seculin,Chievo,SerieA
240990,Pierluigi Gollini,Atalanta,SerieA
125810,José Luis Palomino,Atalanta,SerieA
64075,Rafael Tolói,Atalanta,SerieA
244804,Gianluca Mancini,Atalanta,SerieA
135890,Hans Hateboer,Atalanta,SerieA
141726,Robin Gosens,Atalanta,SerieA
85070,Marten de Roon,Atalanta,SerieA
302691,Remo Freuler,Atalanta,SerieA
43194,Josip Ilicic,Atalanta,SerieA
22546,Alejandro Gómez,Atalanta,SerieA
350076,Musa Barrow,Atalanta,SerieA
133808,Emiliano Rigoni,Atalanta,SerieA
41073,Duván Zapata,Atalanta,SerieA
129903,Mario Pasalic,Atalanta,SerieA
44304,Etrit Berisha,Atalanta,SerieA
100962,Berat Djimsiti,Atalanta,SerieA
141169,Timothy Castagne,Atalanta,SerieA
135198,Ali Adnan,Atalanta,SerieA
143467,Luca Valzania,Atalanta,SerieA
78693,Francesco Rossi,Atalanta,SerieA
362599,Arkadiusz Reca,Atalanta,SerieA
362600,Matteo Pessina,Atalanta,SerieA
363092,Davide Bettella,Atalanta,SerieA
10705,Edgar Barreto,Sampdoria,SerieA
203436,Marko Rog,Napoli,SerieA
76921,Vlad Chiriches,Napoli,SerieA
363096,Alessandro D'Andrea,Napoli,SerieA
14157,Andrea Masiello,Atalanta,SerieA
78906,Roberto Soriano,Torino,SerieA
356753,Erick Ferigra,Torino,SerieA
142379,Vittorio Parigini,Torino,SerieA
68034,Adem Ljajic,Torino,SerieA
35954,Kevin Strootman,Roma,SerieA
277269,Franck Kessié,AC Milan,SerieA
339504,Krzysztof Piatek,AC Milan,SerieA
22205,Lucas Biglia,AC Milan,SerieA
137832,Mattia Caldara,AC Milan,SerieA
355855,Dejan Kulusevski,Atalanta,SerieA
77059,Sime Vrsaljko,Inter,SerieA
44089,Federico Marchetti,Genoa,SerieA
14636,Nicolás Spolli,Genoa,SerieA
141269,Luca Mazzitelli,Genoa,SerieA
90349,Oscar Hiljemark,Genoa,SerieA
339504,Krzysztof Piatek,Genoa,SerieA
322219,Stephane Omeonga,Genoa,SerieA
95872,Gianluca Lapadula,Genoa,SerieA
53975,Sebastien De Maio,Bologna,SerieA
143992,Federico Mattiello,Bologna,SerieA
67434,Mattia Destro,Bologna,SerieA
330643,Orji Okwonkwo,Bologna,SerieA
362775,Gabriele Corbo,Bologna,SerieA
91182,Antonio Santurro,Bologna,SerieA
42878,Emiliano Viviano,SPAL 2013,SerieA
44473,Thiago Cionek,SPAL 2013,SerieA
9973,Felipe,SPAL 2013,SerieA
281433,Kevin Bonifazi,SPAL 2013,SerieA
149030,Mohamed Fares,SPAL 2013,SerieA
97197,Mattia Valoti,SPAL 2013,SerieA
13348,Simone Missiroli,SPAL 2013,SerieA
28001,Pasquale Schiattarella,SPAL 2013,SerieA
90287,Jasmin Kurtic,SPAL 2013,SerieA
14152,Sergio Floccari,SPAL 2013,SerieA
122296,Andrea Petagna,SPAL 2013,SerieA
244489,Alessandro Murgia,SPAL 2013,SerieA
26928,Mirco Antenucci,SPAL 2013,SerieA
241007,Marko Jankovic,SPAL 2013,SerieA
149502,Lorenzo Dickmann,SPAL 2013,SerieA
343369,Francesco Vicari,SPAL 2013,SerieA
343524,Giacomo Poluzzi,SPAL 2013,SerieA
33834,Alberto Paloschi,SPAL 2013,SerieA
70675,Vasco Regini,SPAL 2013,SerieA
122033,Andrea Fulignati,SPAL 2013,SerieA
123468,Filippo Costa,SPAL 2013,SerieA
128746,Mirko Valdifiori,SPAL 2013,SerieA
97213,Alfred Gomis,SPAL 2013,SerieA
27999,Marco Sau,Sampdoria,SerieA
95504,Marco Sportiello,Frosinone,SerieA
118148,Edoardo Goldaniga,Frosinone,SerieA
34938,Lorenzo Ariaudo,Frosinone,SerieA
92754,Marco Capuano,Frosinone,SerieA
122487,Francesco Zampano,Frosinone,SerieA
287088,Andrea Beghetto,Frosinone,SerieA
121023,Raman Chibsah,Frosinone,SerieA
317360,Francesco Cassata,Frosinone,SerieA
83126,Lorenzo Crisetig,Frosinone,SerieA
317544,Andrea Pinamonti,Frosinone,SerieA
19792,Daniel Ciofani,Frosinone,SerieA
95977,Joel Campbell,Frosinone,SerieA
259931,Paolo Ghiglione,Frosinone,SerieA
122652,Mirko Gori,Frosinone,SerieA
121282,Stipe Perica,Frosinone,SerieA
142385,Emmanuel Besea,Frosinone,SerieA
57591,Nicolò Brighenti,Frosinone,SerieA
15407,Cristian Molinaro,Frosinone,SerieA
78882,Francesco Bardi,Frosinone,SerieA
83389,Raffaele Maiello,Frosinone,SerieA
140505,Rai Vloet,Frosinone,SerieA
68613,Bartosz Salamon,Frosinone,SerieA
93698,Luka Krajnc,Frosinone,SerieA
95721,Lorenzo Lollo,Empoli,SerieA
106906,Alessio Cragno,Cagliari,SerieA
333136,Paolo Faragò,Cagliari,SerieA
143991,Filippo Romagna,Cagliari,SerieA
93211,Luca Ceppitelli,Cagliari,SerieA
120218,Charalampos Lykogiannis,Cagliari,SerieA
71584,Lucas Castro,Cagliari,SerieA
14126,Luca Cigarini,Cagliari,SerieA
72935,Artur Ionita,Cagliari,SerieA
148684,Nicolò Barella,Cagliari,SerieA
67279,Diego Farias,Cagliari,SerieA
95822,Leonardo Pavoletti,Cagliari,SerieA
128053,Alberto Cerri,Cagliari,SerieA
141308,Fabio Pisacane,Cagliari,SerieA
27999,Marco Sau,Cagliari,SerieA
59214,Rafael,Cagliari,SerieA
103242,Marko Pajac,Cagliari,SerieA
132229,Filip Bradaric,Cagliari,SerieA
129554,Simone Aresti,Cagliari,SerieA
338751,Riccardo Daga,Cagliari,SerieA
78892,Marco Andreolli,Cagliari,SerieA
14127,Daniele Dessena,Cagliari,SerieA
23043,Simone Padoin,Cagliari,SerieA
77350,Rômulo,Lazio,SerieA
349701,Nicolò Armini,Lazio,SerieA
369572,Mauro Zitelli,Lazio,SerieA
337916,Pedro Neto,Lazio,SerieA
346000,Bruno Jordao,Lazio,SerieA
112210,Amin Younes,Napoli,SerieA
369883,Gianluca Gaetano,Napoli,SerieA
355856,Enrico Del Prato,Atalanta,SerieA
356733,Andrea Colpani,Atalanta,SerieA
369414,Roberto Piccoli,Atalanta,SerieA
341525,Ibañez,Atalanta,SerieA
326501,Alessandro Plizzari,AC Milan,SerieA
107072,Filip Helander,Bologna,SerieA
251137,Simone Edera,Bologna,SerieA
78880,Mattia Perin,Juventus,SerieA
116207,Daniele Rugani,Juventus,SerieA
100995,Alex Sandro,Juventus,SerieA
303657,Rodrigo Bentancur,Juventus,SerieA
24088,Mario Mandzukic,Juventus,SerieA
114863,Paulo Dybala,Juventus,SerieA
287086,Manuel Lazzari,SPAL 2013,SerieA
278119,Lorenco Simic,SPAL 2013,SerieA
68890,Sandro,Genoa,SerieA
33870,Fabrizio Cacciatore,Chievo,SerieA
67432,Joel Obi,Chievo,SerieA
336959,Arnel Jakupovic,Empoli,SerieA
40384,Giacomo Bonaventura,AC Milan,SerieA
21234,Stefan Radu,Lazio,SerieA
14751,Dusan Basta,Lazio,SerieA
331702,Stefano Greco,Roma,SerieA
352960,Alessio Riccardi,Roma,SerieA
68890,Sandro,Udinese,SerieA
83205,Emmanuel Badu,Udinese,SerieA
366337,Musa Juwara,Chievo,SerieA
369571,Sergio Kalaj,Lazio,SerieA
367198,Marco Alia,Lazio,SerieA
300624,Marco Tumminello,Atalanta,SerieA
251137,Simone Edera,Torino,SerieA
284115,Lyanco,Torino,SerieA
355391,Riccardo Sottil,Fiorentina,SerieA
232262,Kevin Diks,Fiorentina,SerieA
369427,Jorge Silva,Lazio,SerieA
33870,Fabrizio Cacciatore,Cagliari,SerieA
86935,João Pedro,Cagliari,SerieA
13154,Cyril Théréau,Cagliari,SerieA
130368,Alessandro Deiola,Cagliari,SerieA
7044,Darijo Srna,Cagliari,SerieA
343615,Maxime Leverbe,Cagliari,SerieA
12032,Valter Birsa,Cagliari,SerieA
369713,Christian Oliva,Cagliari,SerieA
106277,Pietro Terracciano,Fiorentina,SerieA
84190,Luis Muriel,Fiorentina,SerieA
367532,Martin Graiciar,Fiorentina,SerieA
356114,Federico Brancolini,Fiorentina,SerieA
131042,Antonin Barak,Udinese,SerieA
105339,Molla Wagué,Udinese,SerieA
68889,Douglas Costa,Juventus,SerieA
111212,Emre Can,Juventus,SerieA
29888,Medhi Benatia,Juventus,SerieA
375465,Erald Lakti,Fiorentina,SerieA
362778,Tòfol Montiel,Fiorentina,SerieA
374606,Gabriele Ferrarini,Fiorentina,SerieA
35640,Ivan Radovanovic,Genoa,SerieA
369687,Andras Schafer,Genoa,SerieA
83397,Camillo Ciano,Frosinone,SerieA
362601,Luca Matarese,Frosinone,SerieA
11615,Paolo Sammarco,Frosinone,SerieA
18681,Danilo Soddimo,Frosinone,SerieA
303021,Andrija Balic,Udinese,SerieA
365829,Riccardo Doratiotto,Cagliari,SerieA
367520,Francesco Verde,Cagliari,SerieA
10839,Ragnar Klavan,Cagliari,SerieA
118502,Kiril Despodov,Cagliari,SerieA
122653,Luca Paganini,Frosinone,SerieA
143467,Luca Valzania,Frosinone,SerieA
78883,Federico Dionisi,Frosinone,SerieA
106522,Marcello Trotta,Frosinone,SerieA
302508,Stefan Simic,Frosinone,SerieA
13764,Sami Khedira,Juventus,SerieA
82109,Mehdi Bourabia,Sassuolo,SerieA
11867,Kevin-Prince Boateng,Sassuolo,SerieA
141255,Cristian Dell'Orco,Sassuolo,SerieA
136306,Stefano Sensi,Sassuolo,SerieA
362552,Giangiacomo Magnani,Sassuolo,SerieA
375437,Manolo Portanova,Juventus,SerieA
70319,Luigi Sepe,Parma Calcio 1913,SerieA
129551,Simone Iacoponi,Parma Calcio 1913,SerieA
18590,Bruno Alves,Parma Calcio 1913,SerieA
122452,Riccardo Gagliolo,Parma Calcio 1913,SerieA
255929,Federico Dimarco,Parma Calcio 1913,SerieA
12732,Luca Rigoni,Parma Calcio 1913,SerieA
14143,Antonino Barillà,Parma Calcio 1913,SerieA
362544,Leo Stulac,Parma Calcio 1913,SerieA
17740,Gervinho,Parma Calcio 1913,SerieA
90946,Roberto Inglese,Parma Calcio 1913,SerieA
109067,Antonio Di Gaudio,Parma Calcio 1913,SerieA
9926,Massimo Gobbi,Parma Calcio 1913,SerieA
15438,Fabio Ceravolo,Parma Calcio 1913,SerieA
130368,Alessandro Deiola,Parma Calcio 1913,SerieA
362761,Francisco Sierralta,Parma Calcio 1913,SerieA
329665,Alessandro Bastoni,Parma Calcio 1913,SerieA
362545,Fabrizio Bagheria,Parma Calcio 1913,SerieA
30589,Marcello Gazzola,Parma Calcio 1913,SerieA
34145,Luca Siligardi,Parma Calcio 1913,SerieA
52382,Pierluigi Frattali,Parma Calcio 1913,SerieA
109182,Mattia Sprocati,Parma Calcio 1913,SerieA
122627,Amato Ciciretti,Parma Calcio 1913,SerieA
290832,Alessio Da Cruz,Parma Calcio 1913,SerieA
75218,Jordan Lukaku,Lazio,SerieA
149474,Vanja Milinkovic-Savic,SPAL 2013,SerieA
74141,Everton Luiz,SPAL 2013,SerieA
259527,Mattia Vitale,SPAL 2013,SerieA
98140,Federico Viviani,SPAL 2013,SerieA
142420,Gabriele Moncini,SPAL 2013,SerieA
362543,Demba Thiam,SPAL 2013,SerieA
365686,Lazar Nikolic,SPAL 2013,SerieA
371497,Giacomo Raspadori,Sassuolo,SerieA
375461,Andrea Ghion,Sassuolo,SerieA
332268,Luca Pellegrini,Cagliari,SerieA
372825,Andrea Rizzo Pinna,SPAL 2013,SerieA
372824,Paolo Gozzi Iweru,Juventus,SerieA
275831,Grigoris Kastanos,Juventus,SerieA
318750,Stephy Mavididi,Juventus,SerieA
320262,Luca Coccolo,Juventus,SerieA
11680,Johan Djourou,SPAL 2013,SerieA
371078,Milos Bocic,Udinese,SerieA
32514,Juraj Kucka,Parma Calcio 1913,SerieA
70561,Matteo Scozzarella,Parma Calcio 1913,SerieA
240989,Alberto Grassi,Parma Calcio 1913,SerieA
293996,Pepín,Parma Calcio 1913,SerieA
41237,Jonathan Biabiany,Parma Calcio 1913,SerieA
95046,Jacopo Dezi,Parma Calcio 1913,SerieA
370362,Gabriel Brazão,Parma Calcio 1913,SerieA
369677,Georgios Antzoulas,Fiorentina,SerieA
362780,Elia Caprile,Chievo,SerieA
342577,Lukas Lerager,Genoa,SerieA
372679,Fallou Njie,Genoa,SerieA
7323,Emil Hallfredsson,Frosinone,SerieA
371595,Karim Zedadka,Napoli,SerieA
106522,Marcello Trotta,Sassuolo,SerieA
18723,Federico Peluso,Sassuolo,SerieA
316537,Alessandro Rossi,Lazio,SerieA
371585,Luan Capanni,Lazio,SerieA
7323,Emil Hallfredsson,Udinese,SerieA
302650,Gianluca Scamacca,Sassuolo,SerieA
337839,Nunzio Lella,Cagliari,SerieA
113196,Andreas Cornelius,Atalanta,SerieA
370949,Facundo Colidio,Inter,SerieA
372893,Ibrahim Karamoko,Chievo,SerieA
280819,Nicolás Schiappacasse,Parma Calcio 1913,SerieA
369409,Carl Davordzie,Parma Calcio 1913,SerieA
298729,Abdou Diakhate,Parma Calcio 1913,SerieA
98140,Federico Viviani,Frosinone,SerieA
79502,Alessandro Iacobucci,Frosinone,SerieA
365828,Gianluca Saro,Empoli,SerieA
371596,Thomas Battistella,Udinese,SerieA
338774,Filip Vaško,Udinese,SerieA
369102,Giuseppe Marciano,Frosinone,SerieA
369103,Francesco Verde,Frosinone,SerieA
369539,Marco Spina,SPAL 2013,SerieA
319845,Ognjen Stijepovic,Sampdoria,SerieA
357433,Lorenzo Peli,Atalanta,SerieA
368312,Caleb Okoli,Atalanta,SerieA
333510,Simone Ghidotti,Fiorentina,SerieA
373081,Nicky Medja Beloko,Fiorentina,SerieA
369426,Nicolo Fagioli,Juventus,SerieA
356176,Ndary Adopo,Torino,SerieA
362440,Davide Marfella,Napoli,SerieA
374605,Christian Koffi,Fiorentina,SerieA
368242,Luca Gemello,Torino,SerieA
70675,Vasco Regini,Sampdoria,SerieA
349184,Raoul Bellanova,AC Milan,SerieA
373539,Marco Curto,Empoli,SerieA
365103,Gianmarco Cangiano,Roma,SerieA
333761,Abukar Mohamed,Lazio,SerieA
374601,Alessio Furlanetto,Lazio,SerieA
348649,Manuel Gasparini,Udinese,SerieA
125276,Gaspar Íñiguez,Udinese,SerieA
298060,Yann Karamoh,Inter,SerieA
371582,Pablo Moreno Taboada,Juventus,SerieA
367278,Zan Celar,Roma,SerieA
369141,Luca Belardinelli,Empoli,SerieA
372509,Samuele Ricci,Empoli,SerieA
372877,Redi Kasa,Parma Calcio 1913,SerieA
350254,Matteo Soncin,AC Milan,SerieA
370032,Mohamed Bahlouli,Sampdoria,SerieA
371353,Francesco Semeraro,Roma,SerieA
371354,Salvatore Pezzella,Roma,SerieA
371355,Riccardo Cargnelutti,Roma,SerieA
363048,Caio Vinicius,Bologna,SerieA
367521,Ludovico D'Orazio,Roma,SerieA
10928,Gianni Munari,Parma Calcio 1913,SerieA
369410,Yves Baraye,Parma Calcio 1913,SerieA
369412,Karolis Uzela,SPAL 2013,SerieA
369411,Ricardo Farcas,SPAL 2013,SerieA
369694,Andrea Errico,Frosinone,SerieA
375382,Michele Bragantini,Chievo,SerieA
369688,Nicolò Rovella,Genoa,SerieA
343560,Antonio Candela,Genoa,SerieA
340929,Andrea Marcucci,Roma,SerieA
373920,Tommaso Farabegoli,Sampdoria,SerieA
347697,Riccardo Ladinetti,Cagliari,SerieA
349795,Ben Kone,Torino,SerieA
343775,Eddie Salcedo,Inter,SerieA
369139,Niccolò Ricchi,Empoli,SerieA
375418,Alessandro Cerbara,Lazio,SerieA
375416,Roberto De Angelis,Lazio,SerieA
375417,Alessio Bianchi,Lazio,SerieA
362774,Joaquín Ardáiz,Frosinone,SerieA
371313,Alessandro Marongiu,Cagliari,SerieA
370336,Pier Paolo Salvati,Frosinone,SerieA
373544,Nicolò Cambiaghi,Atalanta,SerieA
322991,Titas Krapikas,Sampdoria,SerieA
364321,Andrea Di Maggio,Parma Calcio 1913,SerieA
364320,Drissa Camara,Parma Calcio 1913,SerieA
374902,Joao Piai,Napoli,SerieA
